Date,Username,Rating,Review
N/A,N/A,NA,N/A
"Nov 16, 2023",Donald F.,5,Went up to see the daughter in Morgantown! Wanted something nice to eat.. found this place... was not disappointed.  Food and service was outstanding.  Highly Recommended
"May 3, 2024",Marianne D.,3,The bartender was amazing and he made really good drinks. The food was awful!!!I will go back for drinks but I will never order from the menu.
"Jul 29, 2023",Brooke T.,1,"Shown are the appetizers of Cheesy Nachos with prime filet add on. Was not impressed with this at all. Cheese was just microwaved on. Asked for no peppers (due to allergy) and all that cane out was nachos, cheese, and steak. The steak was def not prime filet. It was well done, super difficult to chew and tasted like scraps from a steak. Very disappointing and not worth the cost. No substitute was ever brought out for my pepper allergy. So this place does not do accommodations for food allergies. Cheese logs were a favorite of mine but they were brought out ice cold and the cheese was hard. Not pull apart at the mouth. The breading was pretty good though and had lots of flavor. Next is the chipotle burger. We ordered it medium rare and came out well done. Very small burger. Fries/chips were not bad. But this dish had way to much salt added. Ambiance was pretty tachy. Lots of empty high end liquor bottles scattered all of the restaurant for decoration and they were all dusty. Lot of loud people with nothing in the restaurant that absorbs sound. Seemed that a lot of older folks were there eating. Inside was pretty cold, so bring a jacket. Wait staff was friendly but didnt know the menu well at all. Overall i do not recommend this restaurant."
"Feb 17, 2024",Sara L.,3,"We walked in and immediately felt under dressed, but we rolled with it.  Ordered the Greek sampler to start - it was okay.  My theme for the night was everything was pricey for what you get and it started with the appetizer.  The best entree was the porcini truffle ravioli - the chipotle cream sauce was tasty, but sweet and not spicy at all.  The blackened shrimp was far from blackened and had very little seasoning, but cooked well.  My husband and son both ordered honey salmon and said it was okay, but the skin was limp.  My other son had a chipotle burger and enjoyed it, but said it wasn't anything special.  My daughter had the ceasar salad - well dressed and fresh.  For the money, I'd recommend plenty of other options in the area.  The biggest plus was the waitress - she was attentive, not pushy, and there when we needed something."
"Mar 12, 2024",Jen G.,5,"Food was great. Service wonderful. One of the better places in Motown hands down. Our group had steak, pasta, sushi and all were fantastic. Great happy hour as well"
"Jan 24, 2024",Rachel N.,1,I put in a to go sushi order today including a salmon sashimi and a rainbow roll. The roll had an excessive amount of rice and the topping looked like they were just thrown on there. The sashimi I ordered was also very slimy. I normally love the sushi at Bartini but something about it recently has just not been up to par.
"Dec 17, 2023",Maddie D.,3,"Super busy restaurant, kitchen was slow. The food was just okay. The sushi looked good. Ordered the smothered chicken and it wasn't what the description said. High end restaurant not that high end of food. Just okay."
"Feb 20, 2024",Landon R.,1,"DO NOT EAT HEREAbsolutely Horrible, would definitely rate a zero if i could. Came here on a Tuesday with a reservation and the experience was absolutely horrendous. Ordered chicken nachos as an app and they came out cold and without the bell peppers and corn, as well as the chicken looking microwaved and like plastic. Waited 15 minutes for the server to come up  with our entrees just to be told they were out of the bell peppers and corn. Our Steak and Cake was way over cooked (well done on a medium) and the crab cake tasted expired and cold. Had the Porcini and Truffle Ravioli, shrimp were not blackened but rather boiled and tasteless. The ravioli themselves were great but ruined by the sour tasting sauce. Ambiance was poor overall. As servers, we are usually not ones to complain but the service coupled with the horrid food definitely makes this a place we will no longer go. DO NOT EAT HERE. Paying 120 dollars for possibly the worst dining experience you will ever had is not worth it."
"Dec 14, 2023",Lori P.,3,"We chose this restaurant because our son LOVES steak and was really missing a good steak dinner while at college. The place has an upscale feel and the servers are very attentive. We ordered nachos and a sushi roll for appetizers. The nachos were unremarkable (even my son, who is normally excited by any nachos was not really impressed at the lack of toppings and flavor- was basically chips, cheese and chicken). I didn't even take a picture of it, though you see a glimpse in one of the photos I did take. The sushi roll was excellent- beautiful presentation and delicious. I ordered a filet and crabcake combo and my son got a filet. He did not make any remarks about his steak, which was prepared to requested temp (a task some places seem to struggle with). Mine was simply bad. It was literally cold, had no flavor and I took one bite and moved on to the crabcake, which was ok but not up to my Maryland standards. This reminds me why I don't order crabcakes away from home. My husband got sushi and aside from accidentally eating the whole wasabi portion in one bite, was thoroughly pleased with his meal. Bottom line of my review? Drop the steaks, focus on the sushi. There's definitely something worth pursuing there. Will return but won't go for anything else there again."
"Jan 24, 2024",Sarah B.,1,"I came specifically for sushi tonight and the sushi was not good at all. Too much rice and the rice was also very overdone, sushi was falling apart when I tried to pick it up, and the toppings were falling all over the plate. It was impossible to eat. Service was amazing, Jacey did a wonderful job taking care of us tonight and the host was very welcoming. Other than the sushi being awful, my experience was delightful."
N/A,N/A,NA,N/A
"Jul 9, 2023",Jen K.,2,"We were excited to hit one of our favorite restaurants when we came to move our daughter home for the summer.  We enjoyed our appetizers, then soon order our main courses.  We ordered 2 prime ribs (medium),  2 filets (one med, the other med rare).  The waitress came back and said they didn't have any prime ribs.   Ok, so they got the filets, then a little later she comes back and says they only have 6oz filets not the 10oz we had ordered.  Ok, fine but when they came out they were ALL cooked well done.  Left disappointed because this use to be a great place.  We did go a few months ago and noticed some changes but brushed it off bc they were busy.  Sadly, this will be our last time."
"Aug 10, 2023",Veronica C.,5,Went for dinner after moving my son back to WVU. I sat at the bar which is very pretty and comfortable. I was lucky to be there during happy hour. Bar tender Angelo was friendly and gave very good service. Had the steak and cake- both were delish. I would definitely return.
"May 23, 2020",Joey D.,5,"Birthday dinner 5/22. One for the records. I never would have guessed in a million years , living in NY, I would have to travel 7 hours to Bartini Prime in Morgantown, WV to have a steak dinner.  NY closed its doors but West Virginia opened them. Wife said it was the best steak she ever had. I also was very pleased all around. Waitress (Kayla) I think , was great. I thank governor Jim Justice for opening up the state to visitors when my state was closed. Instead of a birthday that would have been curbside and watching Netflix on the couch, I had a great steak at Bartini Prime! Thanks to all Bartini PrimeJim Justice the governor And the state of West Virginia."
"Jul 21, 2023",Lisa K.,1,"Extremely small portions and way over-priced for sushi and dessert.  I ordered a ""specialty roll"" from for $14- the rainbow roll.  I asked how many pieces and whether I should order a 2nd to complete my meal.  Good thing I did!  These were the tiniest sushi rolls pieces I've ever gotten in any restaurant!  I also got the Philly roll- $9.  Each roll was equally small.  In total, the pieces might have been 5 or 6 inches per roll stacked together.  Each piece was the size of a quarter at best.   My friends ordered steak.  One ordered the filet medium- it was definitely medium-well or well done.  I ordered tiramisu- that was enclosed in a paper wrapper and also super small.  This restaurant doesn't live up to its hype or it's price tag.  Will not return or recommend!"
"Jun 20, 2019",Heather B.,2,"Stopped here for dinner - it was just average.  Employees were very friendly but the food was just meh.We ordered the crab dip, it was good and did have quite a bit of crab meat. Entrees were 100% disappointing. The steak and cake entree featured very little food for the $34 price - My hamburger was extremely dry and overcooked, lacked any decent flavor.  Didn't finish it.  The sweet potato fries were, I believe, covered in sugar - I don't want extra sugar on my food.  The garlic mushrooms were meh. All in all, not worth the $93 price tag.  Had better burgers at local joints.  Again, employees nice but food was lackluster.  Plus, doors to outdoor seating were left open so we had a fly buzzing around us while we tried to eat.  Not good."
"Oct 10, 2021",Richard H.,3,"One of the best crab cakes I have ever eaten! Well I got tastes from my wife's plate after sending my overcooked and over seasoned steak back. I ordered the dry aged steak and was very disappointed, but my bride's meal was wonderful. The staff was both attentive and willing to go the extra mile to make the experience good but a poorly cooked meal is tough to recover from.  the replacement was better but still not great. The atmosphere was a mixed message, the waitresses uniform included very short skirts, the music was what I would expect in a dance club, and the patrons were, for the most part, well north of 50 years old. The price point is $$$+ and one would expect an atmosphere befitting both the clientele and the expense."
"Jun 26, 2022",Noelle M.,5,"Not only is this restaurant's food amazing, but their workers are too! Joanna was an amazing and kind waitress. She made sure we had everything we needed when we needed it. Shoutout to Vlad, he's awesome too. I highly suggest this place, I wish I could eat here every day!"
"Oct 14, 2022",Crystal D.,5,Great service and phenomenal food. Highly recommend the crab cakes or steak and crab. Great wine and bourbon selections.
"Apr 28, 2022",Ron B.,4,"I went with a group of people. Food, drink and service  was excellent. This is one of the best restaurants in Morgantown. Absolutely the best crab cakes in area- nothing comes close."
"Apr 28, 2022",Rusty D.,4,"You will think you are in a big city instead of smaller town West Virginia. A nice surprise. The weather protected outdoor seating is rare in ""Mo'town"". Other choices are Oliverios and Gibbies. I hear the Mason Jar is adding outdoor seating this year too."
N/A,N/A,NA,N/A
"Jul 3, 2022",Craig H.,2,Disappointing experience. Expected much more based on other reviews. Food was average at best and over priced compared to other restaurants. Drinks were over priced and were horrible. Service wasn't the best. Environment had a night club vibe... and not a good one.
"Feb 12, 2022",J C.,4,"Nightclub type atmosphere with great food. steak are featured and always quite good. Great drink and wine menu. The service is very good and waitresses very easy on a guys eyes! Can be noisy for table conversations so in warm weather try the outdoor dinning room. A locals favorite. Make a reservation. Located in a shopping plaza, parking is easy."
"Sep 3, 2022",Krista C.,2,"Out of several things on menu. Served last bowl of potato soup and it was half full and consistency of mashed potatoes. Chicken nachos were chips, nacho cheese and uncooked chicken. Tuna on sushi was dry and for some sushi lovers, inedible. I'm used to paying upwards of $60+ for a good cut of meat and this place was very overpriced."
"Jul 14, 2018",Rachael M.,5,"If I had the money to come to this place every night, I absolutely would. The atmosphere is perfect; soft, subtle lighting high above the dark wood tables, music loud enough to hear clearly but not so loud you have to tell at your table partners to be heard. The staff were all all warm and welcoming, and Kelsey, our server, was on point. She came often enough to make sure we had everything, but not so often I felt like we had a third wheel. Then comes the food, oh the food!! The two of us both got sushi, and shared the Greek Sampler and Au Gratin Potatoes. Everything tasted fresh, packed with flavor, and absolutely amazing. I was a little nervous getting sushi from a restaurant that also does steak and has a full bar (I.E. is not a sushi restaurant), but I was blown away. Thus may be my new sushi place, especially since it is similarly priced. Lastly, the drinks. Huge drink menu, and all of the drinks we got were STRONG and flavorful. Absolutely worth every cent. Expect to pay roughly $30-50 per person, but also expect it to be worth every penny."
"Nov 14, 2016",Jason J.,4,"Nice atmosphere, good service and a good happy hour. My only real complaint is the cost. A basic California roll from anywhere else is $5-6, but here it is $8.50 and they nickel and dime everything. If you want some siracha or spicy mayo that will be .50 cents each.A ribeye with blue cheese was $34, no sides no anything.. $34 and that's all you get is the steak. The ribeye was good, the dang rolls are the best sushi roll they have and the Greek app was good. Overall a good place to grab a bite, but I think they really need to look at their price points."
"Mar 14, 2021",Eric G.,5,"We had a great evening out with friends celebrating a birthday. The food was delicious, the service was spot on, the drinks were made just as requested and in today's Covid environment the restaurant was extremely clean and spaced out. Highly recommend. Thanks for having us Bartini Prime!Eric and Darlene"
"Aug 7, 2018",Sarah K.,3,"While in town on business, I stopped in for for a light meal and a drink. Upon entering the door, I was taken aback by the staffs' attire; it was pretty sleazy. The heels and too short black dresses on the women staff were quite revealing and made me uncomfortable. The man at the door had his shirt unbuttoned a little too far down, a gold necklace, and no undershirt...ick. I sat down and ordered anyway. I ordered a ""Sexy"" cosmo and Philly Roll.Even though it wasnt very busy, the Philly Roll took 25 minutes to arrive. It was pretty good, worth the price. Overall, I wouldn't come back. It seemed like a place to hire an escort - the women staff were objectified, not dressed classy and refined like the restaurant appears to advertise. Yuck...made me feel sad for the women who work there."
"Aug 16, 2021",Jeremy A.,5,"We were in town to drop our daughter at WVU, and wanted a memorable ""last"" dinner last Saturday evening, 8/14.  We were not disappointed.  The restaurant was modern, airy and very comfortable. Izzy our server was friendly,  knowledgeable and professional. The service was attentive and our beverages and food arrived promptly.  We had tuna poke bowl, Prime californoa sushi roll and a cheese steak. All meals were fresh, delicious and very reasonably priced, especially given the large portions. We can't wait to go again during Parents Weekend!"
"Sep 30, 2018",Tiffany N.,4,"Sigh, I will Suncrest Towncenter was around when I went to WVU, it has it all! I was quick pleased with our dinner and drinks at Bartini Prime, it's a terrific option for the older people in town or if you're looking for something more refined. We went on a Friday night and if you're going with a big party, definitely make a reservation! Service was on the slower side but they had a lot of drink options so that made the time go by quickly. I was surprised with the sushi, I found a few rolls without cream cheese and went with those. It was great! The only thing I didn't like was that the sushi station is right near the door which skeeves me out from a germ perspective. Their menu is varied and theres little something for everyone!"
"Apr 28, 2018",Erika K.,4,"This place is pretty great! My friend took me here because she was raving about their sushi. To be fair, I'm from the Bay Area, California so I'm a little biased when it comes to sushi. But the sushi was still so delicious! I ordered the Mountaineer roll to be spirited since Morgantown thrives off of the University here. I love the comradely feeling the university creates in this (once) small town. I also ordered the grapefruit crushtini. The martinis are a little sweet for my liking, but for the average person I would say they're a go! My friends tried out the dragonberry lemonade crushtini (the favorite of the group), orange crushtini, and the peach ring martini. The service was excellent. Emily was our server. My water was ALWAYS full. The manager came by to ask us how everything was tasting and how we we're doing. I thought that was very personal and important. The ambiance was great. I love the openness of the restaurant and the dim lighting. Apparently this place turns into a club after a certain time. Sounds like so much fun!!"
N/A,N/A,NA,N/A
"May 25, 2021",Jean M.,1,After being seated on a Tuesday evening we ordered two simple drinks - a Scotch on the rocks and a Sangria. Twenty minutes later with no drinks in sight we left. Wonder how long an actual cocktail takes?
"Oct 15, 2021",Wv M.,1,"""NOT"" accommodating to those with seafood allergies or vegetarians. Left hungry and paid way too much for what we did eat. Attitude is what we were served, not very appealing."
"Sep 3, 2015",Lurine J.,4,This place was ok the sushi was great and the service was fantastic. It is not as upscale as some mad it out to be. However I guess for Morgantown it's good enough. The place is convo energy located in a nice shopping center. I think the martini drinks are great!!! I am glad that we have this place . It will more than likely be our go to place for date night
"Sep 2, 2017",Rob G.,2,"Shiny TurdThe place ""looks"" great. Nice web site, online reservations, well dressed attractive servers. After that, eh. It is billed as a steakhouse. The presentation was nice, but the steaks were very subpar. Overpriced, overcooked on the outside undercooked in the middle. Glad I didn't order medium. The price for the steak was INSANE and didn't come w any sides. I ordered coffee w cream and sugar and wasn't provided a spoon to stir it with. My wife ordered coffee a few minutes later, still no spoon. The ONE upside, the sushi was actually good, and reasonably priced. I am very familiar w sushi and this was fresh, well prepared and well served. If u want steaks, avoid this place....for sushi I would consider returning here."
"Aug 24, 2017",Kat B.,3,"First visit to Bartini Prime and had the CA roll and crab cake (based on another reviewer). CA roll made to order and decent.  Crab cake really meaty w/ large chunks,  very good. Sparkling rosé was nice. I would come again to sit on the patio.  The only negative I noticed was the strong cleaner smell inside the restaurant.  So odd, this was the 2nd restaurant  I visited in Morgantown with this strong odor; the Vintner Valley Wine Bar also must use the same stuff.  IDK, I feel like places that serve food or drink shouldn't be splashed in strong cleanser odors - that's why they lost a star.  Service friendly and food delivered promptly."
"Nov 7, 2020",Vinnie B.,4,In town to visit son playing WVU baseball. Dinner and service is phenomenal.  Food spot on. But we are from KY. And we are used to being bent over on bourbon prices. $77 for EH Taylor?? Dear god. It actually made me order water.  Pitiful - 3x secondary pricing puts you in the penalty box.
"Mar 14, 2015",Bryan G.,5,"Love this place.  It has a really cool modern feel to it on the inside.  Take your pick from bar seating, tables, or even couches for a nice romantic night with the better half.  I did that, it gives off an inviting comfortable vibe. I was there on a Thursday and the music was slower and chill, kinda what i was looking for on a Thursday.  Friday and Saturday nights feature revolving live bands. The drinks are good and the selection is huge, although a bit pricy.  Most specialty mixed drinks were around $10.  I tried a sushi roll and it was downright amazing. I think it was called the dank roll, it was a shrimp tempura topped with crab.  The blend of flavors and sauces was spot on.  My coworker who's not a sushi fan tried a piece and liked it so much he ordered one himself.  Yeah, it's that good. I guess my only real complaint is there's not one of these in pittsburgh where I'm from.  I'd go out of my way to return to bartini.  Check it out!"
"Apr 26, 2017",jessy s.,3,So Bartini is cute and trendy with a nice patio for warmer days. We went for happy hour and I thought the happy hour selection was eh...none of us ended up choosing anything on that menu. Food was attractively displayed and service was initially helpful and then vanished for a LONG time. If your going for drinks try the creamsicle!
"Jan 29, 2019",Brittany L.,4,"While staying in Morgantown for work a few nights, we decided to try Bartini Prime after the great Yelp reviews. We had a group of 7 for dinner. We started off with the mozzarella logs with marinara sauce and the nachos with shredded chicken for our appetizers. Both were fantastic! Our group had a variety of sushi entrees and I chose the 10 ounce filet along with a side of garlic mashed potatoes. The filet was one of the best that Ive had in a long time, the meat was extremely tender and the taste was fantastic. Our whole group thoroughly enjoyed our food. I took a star off my review because the service left alot of room for improvement from the sloppy dropping of plates onto our table to not being checked on after receiving our entrees until she brought the check over. The place was busy for a weeknight but there was plenty of staff working. I would definitely return for the food!"
"Oct 26, 2019",Jim U.,5,Excellent meal! Very modern yet inviting decor. Interesting mix of high end steaks and sushi. My table had some of both and no one was disappointed. Best wine list in Morgantown! The chocolate brownie dessert was more than our table of 4 could finish.  Good service rounds out the review.
N/A,N/A,NA,N/A
"Jul 12, 2019",Cj U.,3,"The crab cake was good, the steak just ok. The bread was good, the Mac n cheese was pretty decent. Unfortunately, the reviews are right as far as the prices and sleazy attire go. The women servers made me uncomfortable. Butt cheeks were hanging out (you could see the a$$ crease the to thighs), thigh gaps with exposed thigh rub and a tiny piece of fabric covering the private area and thongs. Seriously, it looked like nightclub goers. Poor taste for such an expensive restaurant.  The sleazy attire was a common theme for most the servers :("
"Jul 27, 2019",Rick E.,2,"Took in an early Friday evening snack at Bartini Prime. Main dining room was ice cold and we asked Maitre D to put us on patio outside. Took about 5 minutes to clear a table and move outside. The temperature in the main dining room was below 60 and air conditioning blowing very hard.After seeing who was gathering on the patio all dressed in black, we realized it was a dance club masking as a restaurant. Could also tell that by the nachos appetizer that we got with prime filet steak added. Nachos were okay, cheese was mozzarella, prime filet was burnt with the consistency of shoe leather. If a place has Prime in their name...Did not stay for club scene, but the kitchen closes at 10, place closes at 3; do the math."
"Mar 30, 2019",Billy S.,5,John and Vlad are always ready to make anyone feel like a regular. The staff is quick to build a relationship just not a food or drink order. The Kobe appetizer is a diamond in the rough on a menu filled with top flight choices.
"Oct 7, 2013",Danielle P.,5,"I am very excited this place came to Morgantown! Modern decor with some Parisian art flair, outdoor seating/bar option, and a stage for live music behind the indoor bar make this place great for anyone. The drinks and food are well priced for what you get. The Flirtini was delicious and strong. The classic Cosmo was on point, as well! My filet mignon was cooked perfectly and only 15 bucks! They also obliged my food allergy requests with ease. The bartender was so incredibly friendly and attentive, too! This is a great place for an after work drink, special event or anything in between. Can't wait to go back!"
"Aug 10, 2019",Hannah D.,2,When I go here I only sit at the bar and I have been here multiple times and the food has always been great but the service is hit or miss. This last time I was there the service was TERRIBLE. She was the most miserable bartender I have ever encountered in my LIFE. I don't know if I'll be returning because I never want to deal with her again.
"Sep 14, 2016",Amie F.,4,Great atmosphere with live music and a variety of cuisine. The food was exceptionally good with very large portions. The Greek Sampler appetizer was phenomenal. I definitely recommend it.
"Nov 10, 2017",Karl K.,3,This place was ok. Waited about 25 minutes for a table. Had the crab soup which was tasty and a shrimp tempura bowl which wasn't that good. The guacamole in it was going bad and the vegetables were soggy like there were old but kept in a cold fridge. Overall the restaurant was overpriced but the waitress was very nice.
"Jun 18, 2020",Dan R.,3,All I can say is have come because everone said it was great and all. It was okay but between the server being standoffsh and u could tell she was not happy to be there. And that they ran out of all the fllites are sold out was a disapooment. They food it self was okay was not total wowed about it. Not sure why everone speaks so hi off its it was okay but nothing to me that wants to rush back there again
"Sep 4, 2020",Nick C.,5,"Came here with my parents when they visited me at school last year. The food was really good and my parents loved it. My parents are albanian immigrants who moved to new york, so they'd know real fine dining when they see it. You'd expect a restaurant in Morgantown to not be as good as one you'd find somewhere in new york, but bartini is really good. My mom and i fell in love with the crab cakes n still talk about it to this day. We still haven't found any place with better crab cakes so, definitely try those if you haven't already. Delicious, and seemingly fresh food with a great, not too formal environment. Looking forward to coming again"
"Dec 14, 2017",Olivia H.,5,My favorite happy hour spot in Morgantown! The atmosphere is always upscale and inviting and is truly beautiful for parties or a night out. The Dang sushi roll is amazing as well as the coconut shrimp tacos. They are very accommodating to large groups and take reservations. Never had a bad meal here
N/A,N/A,NA,N/A
"Dec 8, 2018",Lori C.,5,"This is the best steakhouse in Morgantown.  Great atmosphere, great staff, and melt in your mouth steaks!In addition to the superb steaks, our birthday party of eight especially enjoyed the crab cake, lobster Mac and cheese, bacon wrapped au gratin potatoes, and asparagus, each cooked to perfection!  Our appetizers and salads were delicious, as well.  After filling our bellies, the bill came and I was somewhat shocked at how inexpensive our experience was.  We ate a big city meal for a small city price.  Kudos to you, Bartini Prime!"
